Iteration,Error,Func Calls
0,2,6
1,2.5545302895052835,12
2,3.5053597493918014,19
3,1.6098862373972236,24
4,3.543328138858236,31
5,1.5978774367873074,36
6,3.582599015621632,43
7,1.5865658176291495,48
8,3.623167444980284,55
9,1.5759550921130403,60
10,3.665028985976621,67
11,1.5660489057286808,72
12,3.7081797169203767,79
13,1.556850807987937,84
14,3.7526162581069995,91
15,1.5483642233083912,96
16,3.7983357918439835,103
17,1.5405924223441598,108
18,3.8453360799085066,115
19,1.5335384940630268,120
20,3.8936154785743238,127
21,1.5272053188769759,132
22,3.9431729513540414,139
23,1.5215955431351105,144
24,3.994008079608167,151
25,1.5167115552853805,157
26,1.8624143616653392,163
27,2.4780520092837,169
28,3.496414257365429,176
29,1.4166333799178736,181
30,3.5397189938344753,188
31,1.410186277505028,193
32,3.5842001967819948,200
33,1.4044022910070484,205
34,3.629856947942581,212
35,1.3992838404262964,217
36,3.6766888979009242,224
37,1.3948331072365232,230
38,1.7134391444007118,236
39,2.280594099655338,242
40,3.2184941553747533,249
41,1.3026505591365982,254
42,3.2583937955978572,261
43,1.2967583293239815,266
44,3.29937549699499,273
45,1.2914761865683708,278
46,3.341438447261983,285
47,1.2868063437317947,290
48,3.384582357825793,297
49,1.2827507930781576,303
50,1.5763833431287277,309
51,2.0988728650780013,315
52,2.962667285153206,322
53,1.1978408962806537,327
54,2.9994294657627365,334
55,1.192456015096208,339
56,3.0371868796073564,346
57,1.1876324320399658,351
58,3.075938809286244,358
59,1.183372170421861,363
60,3.115685019583332,370
61,1.179677049548291,376
62,1.4502930638477232,382
63,1.9316339299574272,388
64,2.727177170680636,395
65,1.1014659865605032,400
66,2.7610485014532684,407
67,1.096544983108231,412
68,2.795835206552412,419
69,1.0921403898364497,424
70,2.8315366535114728,431
71,1.0882540566083037,436
72,2.8681526537925506,443
73,1.084887644640746,449
74,1.3342907698126296,455
75,1.7777229233590852,461
76,2.510406995411152,468
77,1.0128468769667314,473
78,2.5416147104910825,480
79,1.0083499890568692,485
80,2.573664350533055,492
81,1.0043282125046966,497
82,2.6065553590223725,504
83,1.0007832384734547,509
84,2.6402875881463657,516
85,0.9977165836916391,522
86,1.2275691678036598,528
87,1.636077504705216,534
88,2.310868496588734,541
89,0.9313592785532065,546
90,2.339621976102098,553
91,0.9272501374941627,558
92,2.369149826198917,565
93,0.9235781111657383,570
94,2.3994515582263296,577
95,0.9203447455335275,582
96,2.430527059796983,589
97,0.9175514252782461,595
98,1.1293855840260927,601
99,1.5057200254569363,607
100,2.1271917427825744,614
101,0.8564291643619805,619
102,2.153683915013387,626
103,0.8526745064519933,631
104,2.180888325195787,638
105,0.8493220048468267,643
106,2.208804545254744,650
107,0.8463730726761307,656
108,1.035536374684383,662
109,1.373640220650102,668
110,1.9343628707476572,675
111,0.791327894904274,680
112,1.9581157243909746,687
113,0.7875287219203199,692
114,1.9825243578896083,699
115,0.7840981243839914,704
116,2.0075880832142046,711
117,0.7810375200350965,716
118,2.0333065263135386,723
119,0.7783482004846314,729
120,0.9526878473974368,735
121,1.264169972542544,741
122,1.7805939451443953,748
123,0.7276460971753652,753
124,1.8024796924562176,760
125,0.7241726317446021,765
126,1.8249685867142245,772
127,0.7210382710493922,777
128,1.848060012886848,784
129,0.7182443122553155,789
130,1.8717536450525454,796
131,0.7157919358148834,802
132,0.8764692388528061,808
133,1.1634253182766676,814
134,1.6390498429824978,821
135,0.6690902049865307,826
136,1.659215186270635,833
137,0.6659146455873753,838
138,1.6799352689223985,845
139,0.663051076249268,850
140,1.7012095416399373,857
141,0.6605006837431332,862
142,1.723037721334109,869
143,0.658264546846681,875
144,0.8063498644541155,881
145,1.070710638719089,887
146,1.508758574926881,894
147,0.6152475312327359,899
148,1.52733869498828,906
149,0.6123444402793831,911
150,1.5464290328719914,918
151,0.6097283924259627,923
152,1.5660290984444212,930
153,0.6074004733745777,935
154,1.5861386466892637,942
155,0.6053616689088883,948
156,0.7418415280079794,954
157,0.985385780821059,960
158,1.3888254422687767,967
159,0.5657386214398666,972
160,1.4059449028220385,979
161,0.5630847249663584,984
162,1.423533633662612,991
163,0.5606949190719388,996
164,1.4415911978808207,1003
165,0.5585701969331196,1008
166,1.4601173842608968,1015
167,0.556711459284697,1021
168,0.6824951191272162,1027
169,0.9068616341330944,1033
170,1.2784268902553333,1040
171,0.5202145770599576,1045
172,1.2942004714097572,1052
173,0.5177885813264573,1057
174,1.310405662349004,1064
175,0.5156055586666782,1069
176,1.3270420740174282,1076
177,0.5136664175574374,1081
178,1.3441095251664328,1088
179,0.5119719809565104,1094
180,0.62789748318809,1100
181,0.8345960601610072,1106
182,1.1768048502925825,1113
183,0.47835459440429506,1118
184,1.1913383166217018,1125
185,0.47613701800057,1130
186,1.2062687553393723,1137
187,0.47414298549750866,1142
188,1.2215958203915858,1149
189,0.4723733278407585,1154
190,1.2373193570601806,1161
191,0.47082879686598683,1167
192,0.5776685420094051,1173
