Iteration,Error,Func Calls
0,5.109060579010593,7
1,18.61485634891203,9
2,16.124542735052554,15
3,12.587835581617131,20
4,10.221695287082216,26
5,0.3608890513749772,32
6,0.08513636239541629,39
7,0.07847500219236625,45
8,0.037422793172738146,50
9,0.0427711521335465,56
10,0.005799494435006867,58
11,0.036029409779001015,60
12,0.03125578897473711,64
13,0.008456673505877775,71
14,0.0017182091183937653,78
15,0.0023641355588724035,84
16,0.00803992449376313,86
17,0.007595554291337517,92
18,0.012736984810152879,96
19,0.00392055023554094,103
20,0.0018677100651657767,110
21,0.000929808167464262,117
22,0.000609030940512383,124
23,0.0003738513537683923,126
24,0.003028585124264125,128
25,0.004305990008631597,136
26,0.003926098401946415,142
27,0.002662956227772228,151
28,0.001260792575995772,160
29,0.0005830850921822411,169
30,0.0003187798286234514,178
31,0.0002589542133540023,186
32,0.00034684478961359143,194
33,0.0010948001771521,199
34,0.0024554136479258974,205
35,0.003239569825868362,211
36,0.0015567450731676189,219
37,0.00022005405461297283,227
38,0.00011776920803729479,235
39,0.00014482201100875791,242
40,0.0004734584836348906,247
41,0.0008667398536696176,254
42,0.001903111036670686,259
43,0.0013401512679039678,267
44,0.0007832577467732433,276
45,0.00035409743302616326,285
46,0.0001698500257575884,294
47,0.00010142979858876165,303
48,0.00009551019507136469,311
49,0.00013509845001756545,319
50,0.0003405200321708621,325
51,0.0006353701141080629,332
52,0.0016523016752018104,337
53,0.0016308848168997527,348
54,0.00044864013310348775,356
55,0.0004261417695990043,368
56,0.00014638035155732176,377
57,0.00009445691247780728,386
58,0.00008089292312750624,395
59,0.0001043300666049811,403
60,0.00016119640796172344,411
61,0.0003257532163832504,418
62,0.0006443476866595753,425
63,0.0011074622534826802,432
64,0.0010978629001353235,439
65,0.0009254363549315344,449
66,0.00039375842610470693,458
67,0.00028658801261000397,468
68,0.0001000409242101766,477
69,0.00008313702223903631,487
70,0.00006515092489500166,496
71,0.00008876069480107096,504
72,0.00010296145161288114,514
73,0.00030546101423906856,520
74,0.0003414822813734422,531
75,0.0009680345476448752,537
76,0.0010093041357305847,549
77,0.001096882884538785,557
78,0.0008058934586712823,566
79,0.0003978270913732397,575
80,0.00017734395698560233,584
81,0.00008571367551712967,593
82,0.000051929609091354024,602
83,0.00004405164212161094,611
84,0.00005680513749389534,619
85,0.00008830777445830336,627
86,0.00018239262396639415,634
87,0.0003862135651158997,641
88,0.0006082299251237157,649
89,0.0007805975076271517,657
90,0.0006786856888700858,666
91,0.00038987169393125157,675
92,0.000174591546225998,684
93,0.00012727922053571477,694
94,0.00004713337027784252,703
95,0.00004017917743768741,713
96,0.00003411208240307449,722
97,0.000048049451857212366,730
98,0.00006480805751126752,739
99,0.00014470919341707893,746
100,0.000206000211932853,755
101,0.0003309543396089081,763
102,0.000568402247697151,770
103,0.000566230105621295,779
104,0.0003871169674678902,788
105,0.00018313481272149432,797
106,0.00008249996385724723,806
107,0.000041273919894344254,815
108,0.00002696952975515416,824
109,0.00002445295494263144,833
110,0.00003269126324767969,841
111,0.00005067187556192664,849
112,0.00015285917391589892,855
113,0.0001711108130204052,866
114,0.00032808973933051407,873
115,0.0004130294434282289,881
116,0.000351279441012279,890
117,0.00019693578016315679,899
118,0.0000876480522452219,908
119,0.00004059112947852852,917
120,0.00002190881182888745,926
121,0.000016253704514608512,935
122,0.00001914071136573702,943
123,0.000029265046420877147,951
124,0.000060328944166560896,958
125,0.0001289109721506778,965
126,0.00020751244676246085,973
127,0.00028229435674272763,981
128,0.00024442163057034484,989
129,0.00015399003332046624,998
130,0.00007067269231038979,1007
131,0.00005146027245918287,1017
132,0.000018905553063779604,1026
133,0.000014167047637320497,1035
134,0.000013731741487308056,1044
135,0.000027034097794867045,1051
136,0.000028470224508585998,1063
137,0.00008023516648540099,1069
138,0.00010881032679025883,1078
139,0.00018555776977324405,1085
140,0.0001779187032078148,1092
141,0.00014928271017563213,1102
142,0.00006269361851603291,1111
143,0.00002897069672096236,1120
144,0.00001513210014938272,1129
145,0.000010699066054150685,1138
146,0.00001028381832637368,1147
147,0.00001411080678760004,1155
148,0.000030093770260204362,1162
149,0.00005369048467058993,1170
150,0.0000757000505418634,1179
151,0.0001586272707643523,1186
152,0.0001795044068296856,1196
153,0.00017687090457178798,1205
154,0.00011905306799953928,1214
155,0.000055879418336603366,1223
156,0.00004040727551589307,1233
157,0.000013185660770900127,1242
158,0.000010664534521413642,1252
159,0.000007492217316944317,1261
160,0.000007856543514152065,1270
161,0.000011560158951598834,1278
162,0.0000260637314336804,1285
163,0.000032180721405530765,1295
164,0.00006963966174752452,1302
165,0.00011492956266086987,1310
166,0.00014083729775976202,1319
167,0.00013574167220995205,1328
168,0.00011216632987894234,1338
169,0.00007857748251310815,1348
170,0.00004993071765436057,1358
171,0.00003079417243115194,1368
172,0.000019107030350543386,1378
173,0.000012278185423571903,1388
174,0.000008538107614163317,1398
175,0.000006270810489981866,1407
176,0.000006399947018643249,1418
177,0.000009640554274631752,1426
178,0.000013333566645216513,1435
179,0.00003158146796824163,1442
180,0.0000358053211305644,1453
181,0.0000797198573387472,1460
182,0.00009463329643335074,1470
183,0.00011969835361013524,1478
184,0.00011536020821070033,1489
185,0.00006324994559189892,1498
186,0.000054434107952428065,1509
187,0.00003302228822418707,1519
188,0.00002029182920804873,1529
189,0.0000128237066297218,1539
190,0.000008631271777136036,1549
191,0.0000065172914848181875,1559
192,0.000005720223034486424,1569
193,0.000006435409181461192,1578
194,0.000007601065115362635,1588
195,0.000010702790000979054,1597
196,0.00002010040753413262,1605
197,0.00002588752098776177,1615
198,0.000049393076006262156,1623
199,0.000056341721569528115,1634
200,0.0000938514265838915,1642
201,0.00010526149515800812,1652
202,0.0001031617631741186,1662
203,0.0000850218298411097,1672
204,0.00005943904307038401,1682
205,0.00003772439340930511,1692
206,0.000023237977713465034,1702
207,0.000014381227632326905,1712
208,0.00000918552590237738,1722
209,0.000006311622903096831,1732
210,0.000004917704869397395,1742
211,0.000004460315344177279,1752
212,0.000005202492670524247,1761
213,0.000006206601211701461,1771
214,0.000008817046225497428,1780
215,0.00001670565544287828,1788
216,0.000021661213530493327,1798
217,0.00003200351774612683,1807
218,0.00005782721103207596,1815
219,0.00006995825802369609,1825
220,0.0000836527008085036,1834
221,0.00008037721297772398,1844
222,0.00006479721502424544,1854
223,0.000044582241339235354,1864
224,0.000028137872394783026,1874
225,0.000022727603945765795,1885
226,0.000012378942857185585,1895
227,0.000010044650626225345,1906
228,0.000005995286950896869,1916
229,0.0000051611089485272055,1927
230,0.0000040973651957578836,1937
231,0.000004015019789016956,1947
232,0.000004461723525894943,1957
233,0.000006354227989579554,1966
234,0.000008179861928900616,1976
235,0.000012802681962134535,1985
236,0.000016886668839058533,1995
237,0.0000263311038351526,2004
238,0.000041451396239839754,2013
239,0.00004762987454123078,2024
240,0.0000654720895953249,2033
241,0.00007212401770694846,2043
242,0.00006892656875100451,2053
243,0.00005523963362196434,2063
244,0.00003784398143696551,2073
245,0.00002383569049297055,2083
246,0.00001924328106890052,2094
247,0.000010451467270061769,2104
248,0.000008467608049774438,2115
249,0.000005001838334508657,2125
250,0.000004283761761011,2136
251,0.000003338614958500336,2146
252,0.000003227641181326225,2156
253,0.000003554377633769537,2166
254,0.0000050259770310835505,2175
255,0.000006452351043718529,2185
256,0.00001006752559174428,2194
257,0.000013242862456302941,2204
258,0.000020513868145136503,2213
259,0.00003186560773497654,2222
260,0.0000406682405497133,2232
261,0.00005672172539717405,2241
262,0.00006010463932196406,2252
263,0.000058306016593709744,2262
264,0.00004750542839302587,2272
265,0.000032932914631969286,2282
266,0.00002083817632597943,2292
267,0.00001682726870347373,2303
268,0.000009127953781123544,2313
269,0.000007385748863562118,2324
270,0.000004323330797688695,2334
271,0.0000036856531389030436,2345
272,0.0000028233991396996186,2355
273,0.000002694572325284925,2365
274,0.0000029413116637808557,2375
275,0.000004129893782366339,2384
276,0.0000052877503862149395,2394
277,0.000008225138653338777,2403
278,0.00001079041977580035,2413
279,0.00001660720548825602,2422
280,0.000025462483307249674,2431
