x0,y0,r0,Iterations,Evaluations,x_min,y_min,f_min
8,-10,rk+1 = rk + 1,411,21423,-0.20829463300652498,-0.661440296657595,5.201291730400193
8,-10,rk+1 = 2*rk,29,1125,-0.2583666719861842,-0.7318353181245976,5.647150279001322
8,-10,rk+1 = 10*rk,19,604,-0.25890233997275697,-0.731289386739727,5.6471033925795275
8,-10,rk+1 = 100*rk,17,505,-0.25946892072431194,-0.7307119234528066,5.647065757293662
8,-10,rk+1 = (rk + 1)^2,19,586,-0.2592530239663605,-0.7309319706528922,5.647078650094534
8,-10,rk+1 = (rk + 1)^3,17,504,-0.2592623702286302,-0.7309224594378182,5.647078110232759
