x0,y0,r0,Iterations,Evaluations,x_min,y_min,f_min
8,-10,1.0,15,409,-0.36466065675192183,-0.635339366269981,5.8799639794052085
8,-10,1.0,21,711,-0.33667027883719647,-0.663324733431001,5.7868748338040294
8,-10,1.0,29,1125,-0.2583666719861842,-0.7318353181245976,5.647150279001322
