x0,y0,r0,Iterations,Evaluations,x_min,y_min,f_min
8,-10,0.001,26,881,-0.25836763940156077,-0.7318343562079287,5.647150275372775
8,-10,0.0001,29,1125,-0.2583666719861842,-0.7318353181245976,5.647150279001322
8,-10,1e-05,36,1580,-0.2590322426817755,-0.7311569853246485,5.6470936547993
8,-10,1e-06,39,1854,-0.2590322339922668,-0.7311569939777147,5.647093654659941
8,-10,1e-07,69,2487,-0.25902727846703394,-0.7311621418552797,5.647094380678869
